Date,Open,High,Low,Close,Adj Close,Volume
2018-09-27,56.527,57.407,56.3688,56.6852,56.6852,2258097
2018-09-28,56.3095,57.0313,56.2699,56.6259,56.6259,2587858
2018-10-01,57.5158,57.9904,56.8533,57.2686,57.2686,3458084
2018-10-02,57.2191,57.6641,56.9522,57.2093,57.2093,2173603
2018-10-03,57.8421,58.1585,57.0412,57.2884,57.2884,2721460
2018-10-04,56.9522,56.9522,54.8461,55.914,55.914,5871571
2018-10-05,56.0227,56.3688,54.0205,55.0241,55.0241,5578067
2018-10-08,54.5001,55.1724,53.6102,54.9351,54.9351,5036112
2018-10-09,54.7176,55.5383,54.332,54.7176,54.7176,4344480
2018-10-10,54.3518,54.3715,49.2596,49.4475,49.4475,10045986
2018-10-11,48.8543,49.7541,45.2157,46.244,46.244,17683156
2018-10-12,48.5379,48.6773,46.2736,48.1127,48.1127,10416319
2018-10-15,47.8754,48.6565,47.2269,47.3019,47.3019,6010804
2018-10-16,48.4291,50.6044,48.1523,50.2682,50.2682,6350018
2018-10-17,50.3869,50.7626,48.8345,50.377,50.377,6785447
2018-10-18,49.8134,50.1496,47.4107,48.2116,48.2116,8487813
2018-10-19,48.5774,49.675,47.6876,48.0732,48.0732,6337515
2018-10-22,48.4687,48.6664,47.124,47.47,47.47,6699788
2018-10-23,45.2849,47.3316,44.1183,46.6593,46.6593,10320430
2018-10-24,46.5505,46.7581,42.1407,42.3878,42.3878,11146636
2018-10-25,43.4161,45.5321,42.8624,44.7411,44.7411,8037975
2018-10-26,42.6054,44.0391,40.8355,42.3087,42.3087,13321025
2018-10-29,43.9797,44.6719,39.7062,41.5771,41.5771,10189770
2018-10-30,41.5276,43.6238,41.2508,43.5051,43.5051,8710829
2018-10-31,44.8498,46.0957,44.6027,44.8597,44.8597,7980003
2018-11-01,45.3146,46.3527,44.6916,46.2638,46.2638,6223407
2018-11-02,46.857,47.1041,44.2467,45.3541,45.3541,9459745
2018-11-05,45.6606,46.4615,45.1366,46.1847,46.1847,3629017
2018-11-06,46.1056,47.1042,46.0988,47.0152,47.0152,4844446
2018-11-07,48.2907,50.0803,48.0368,50.0012,50.0012,6292857
2018-11-08,49.5563,50.1298,49.052,49.7046,49.7046,4855375
2018-11-09,48.9235,49.052,47.4305,48.3303,48.3303,5621983
2018-11-12,47.9545,48.1028,45.2552,45.5222,45.5222,6458682
2018-11-13,45.8089,46.9262,44.8894,45.2948,45.2948,7649129
2018-11-14,46.333,46.5505,43.4656,44.306,44.306,11150188
2018-11-15,43.6238,45.9572,42.7636,45.7199,45.7199,7082633
2018-11-16,45.1168,46.5604,44.7707,46.0462,46.0462,7126021
2018-11-19,45.7397,45.8601,43.1986,43.7919,43.7919,7912648
2018-11-20,41.8737,42.6647,40.7728,41.3002,41.3002,6994546
2018-11-21,42.022,42.6548,41.6562,41.6957,41.6957,3888102
2018-11-23,40.7465,41.5573,40.7465,40.8553,40.8553,2233905
2018-11-26,42.0319,42.813,41.7946,42.7833,42.7833,4116093
2018-11-27,42.2296,43.1986,41.9034,43.1986,43.1986,3550722
2018-11-28,43.8018,46.1747,43.2777,46.155,46.155,6384393
2018-11-29,45.7595,46.6691,45.1069,45.8584,45.8584,5724235
2018-11-30,45.7496,47.035,45.6013,46.7779,46.7779,4818626
2018-12-03,49.0916,49.141,47.648,48.5181,48.5181,6024841
2018-12-04,48.0732,48.2907,43.6436,43.9105,43.9105,11963572
2018-12-06,41.6562,43.6436,39.9802,43.6337,43.6337,9339286
2018-12-07,43.3667,44.2764,40.0939,40.5784,40.5784,10763979
2018-12-10,40.4202,41.2458,38.2451,40.7663,40.7663,8269125
2018-12-11,42.378,42.5065,40.0148,40.7564,40.7564,7024765
2018-12-12,42.3087,43.0009,41.357,41.3991,41.3991,6482459
2018-12-13,41.8737,42.3186,40.7465,41.3497,41.3497,5360741
2018-12-14,40.1829,40.6971,38.7295,39.036,39.036,5422034
2018-12-17,38.5218,39.0755,35.8818,36.6729,36.6729,9392080
2018-12-18,37.4836,37.7999,35.8225,36.6036,36.6036,5696689
2018-12-19,36.6135,38.3735,34.112,34.9228,34.9228,11783636
2018-12-20,34.29,35.0216,32.1345,33.2122,33.2122,12686015
2018-12-21,33.5781,34.7646,30.849,31.1259,31.1259,14374949
2018-12-24,30.4536,30.948,28.6442,28.6738,28.6738,7791501
2018-12-26,29.2731,32.895,28.4296,32.895,32.895,12113760
2018-12-27,31.5256,33.798,30.0669,33.7682,33.7682,10967823
2018-12-28,34.2842,35.0582,33.0515,33.6095,33.6095,12550872
2018-12-31,34.2842,34.5422,33.4805,34.5125,34.5125,5689924
2019-01-02,32.8652,34.9721,32.7958,34.5819,34.5819,7082704
2019-01-03,33.7484,33.8675,31.8279,32.0019,32.0019,7631613
2019-01-04,33.3812,35.5495,33.2126,35.2567,35.2567,8118457
2019-01-07,35.4056,36.7452,34.9491,36.0605,36.0605,6417464
2019-01-08,37.1619,37.3604,35.9216,37.0627,37.0627,5667628
2019-01-09,37.4497,38.0352,36.8643,37.5787,37.5787,4666218
2019-01-10,36.8543,38.1146,36.5269,38.0352,38.0352,4590148
2019-01-11,37.4596,38.023,37.1719,38.0054,38.0054,3871152
2019-01-14,37.0925,37.7176,36.894,37.3604,37.3604,3147708
2019-01-15,37.5192,38.7596,37.5192,38.6206,38.6206,4780691
2019-01-16,38.8191,39.3153,38.7199,38.8489,38.8489,4467181
2019-01-17,38.4321,40.1587,38.4123,39.7419,39.7419,5109020
2019-01-18,40.6648,41.5579,40.249,41.2999,41.2999,6336079
2019-01-22,40.5556,40.6526,38.8191,39.6526,39.6526,6360975
2019-01-23,40.1587,40.4763,38.6318,39.8412,39.8412,5711445
2019-01-24,39.7618,40.1984,39.2506,39.9503,39.9503,4187490
2019-01-25,40.8633,41.3396,40.6251,40.9228,40.9228,5248968
2019-01-28,39.7916,40.0198,39.0771,40.0198,40.0198,4727854
2019-01-29,40.0198,40.3175,39.4046,39.8412,39.8412,3156357
2019-01-30,40.5755,42.1234,40.1885,41.7166,41.7166,5944975
2019-01-31,41.6273,42.9967,41.5479,42.7586,42.7586,5784515
2019-02-01,42.8776,43.3688,42.4212,42.8181,42.8181,7171919
2019-02-04,42.8479,43.7509,42.4906,43.731,43.731,3434125
2019-02-05,43.9692,44.4256,43.6913,44.2966,44.2966,6249934
2019-02-06,44.0982,44.3705,43.6715,44.0783,44.0783,4021803
2019-02-07,43.1753,43.473,41.9119,42.8082,42.8082,9567749
2019-02-08,42.0937,42.9669,41.697,42.9669,42.9669,3611575
2019-02-11,43.2944,43.4234,42.7387,43.0364,43.0364,5980430
2019-02-12,43.8699,44.8722,43.8303,44.6836,44.6836,5635576
2019-02-13,45.1302,45.5569,44.8855,45.0806,45.0806,3949714
2019-02-14,44.4653,45.3783,44.0089,44.7729,44.7729,4721308
2019-02-15,45.7454,46.2316,45.6065,46.2118,46.2118,4552341
2019-02-19,45.7653,46.8121,45.7553,46.44,46.44,2754325
2019-02-20,46.44,46.9659,46.1423,46.7179,46.7179,5591738
2019-02-21,46.3606,46.5293,45.666,46.2019,46.2019,4845926
2019-02-22,46.5591,47.1545,46.3904,47.0751,47.0751,6804878
2019-02-25,47.8491,48.1468,47.1843,47.2736,47.2736,9505332
2019-02-26,47.0056,47.6048,46.9163,47.1247,47.1247,3592293
2019-02-27,46.7079,47.2537,46.1821,47.0453,47.0453,4400962
2019-02-28,46.8766,47.1346,46.5789,46.7278,46.7278,3177530
2019-03-01,47.6407,47.8667,46.827,47.6606,47.6606,4034705
2019-03-04,48.2361,48.3453,45.796,47.0949,47.0949,9849067
2019-03-05,47.1644,47.2636,46.5988,46.8965,46.8965,3638344
2019-03-06,46.9362,46.9362,45.8446,46.0332,46.0332,4751842
2019-03-07,45.7653,45.8248,44.376,44.8821,44.8821,6956717
2019-03-08,43.8303,44.6539,43.5723,44.6043,44.6043,5334661
2019-03-11,44.9416,46.5988,44.9416,46.5492,46.5492,3549640
2019-03-12,46.7873,47.3133,46.7179,47.0255,47.0255,3430011
2019-03-13,47.5117,48.4743,47.4323,47.9583,47.9583,5112708
2019-03-14,47.9483,48.1865,47.5861,47.859,47.859,3121433
2019-03-15,48.117,48.9803,48.0376,48.5536,48.5536,6317513
2019-03-18,48.633,49.2185,48.514,49.0994,49.0994,3835889
2019-03-19,49.6551,50.0902,48.5536,49.1292,49.1292,6559632
2019-03-20,48.8945,49.6302,47.9898,48.6161,48.6161,9180759
2019-03-21,48.1091,50.4738,48.1091,50.2168,50.2168,5041089
2019-03-22,49.4413,49.7383,47.3038,47.3535,47.3535,11877655
2019-03-25,47.1447,47.791,46.5184,47.2342,47.2342,7634718
2019-03-26,48.2085,48.805,47.4728,48.2284,48.2284,6481153
2019-03-27,48.2582,48.5963,46.6178,47.5524,47.5524,6746315
2019-03-28,47.8407,48.2682,47.1845,48.0594,48.0594,4581178
2019-03-29,48.8945,49.0934,48.2336,48.9939,48.9939,4966467
2019-04-01,50.0577,50.8133,49.9185,50.704,50.704,4405970
2019-04-02,50.7537,50.8332,50.2565,50.694,50.694,4049838
2019-04-03,51.4297,51.6584,50.5846,50.9923,50.9923,5245692
2019-04-04,51.1116,51.4595,50.694,51.3204,51.3204,3359315
2019-04-05,51.718,52.066,51.5391,51.9865,51.9865,4108908
2019-04-08,51.7777,52.2151,51.3983,52.1853,52.1853,3529262
2019-04-09,51.5689,51.7647,51.032,51.3502,51.3502,3413763
2019-04-10,51.5888,51.9163,51.3502,51.8771,51.8771,2718542
2019-04-11,52.1356,52.1356,51.4595,51.8175,51.8175,3173619
2019-04-12,52.7619,53.0105,52.3445,52.8614,52.8614,2966543
2019-04-15,52.8912,52.9408,52.245,52.7222,52.7222,2792117
2019-04-16,53.2292,53.2889,52.4537,52.8713,52.8713,3043952
2019-04-17,53.4479,53.4579,52.1455,52.414,52.414,4539900
2019-04-18,52.752,52.8514,51.9467,52.6923,52.6923,3301523
2019-04-22,52.2052,52.9077,52.1654,52.8614,52.8614,1852101
2019-04-23,53.0403,54.3626,52.8912,54.2135,54.2135,3469001
2019-04-24,54.1836,54.3676,53.776,53.8953,53.8953,2898984
2019-04-25,53.776,54.1338,53.0006,53.7263,53.7263,3259538
2019-04-26,53.7462,54.5117,53.2789,54.5018,54.5018,3573214
2019-04-29,54.5018,55.0287,54.472,54.6907,54.6907,4206571
2019-04-30,54.4918,54.9591,53.6169,54.7802,54.7802,2923673
2019-05-01,55.1878,55.2971,53.5374,53.5474,53.5474,5617709
2019-05-02,53.4082,54.0046,52.2648,53.2193,53.2193,8492023
2019-05-03,54.0643,54.8875,53.9251,54.7205,54.7205,3415651
2019-05-06,52.0063,54.293,51.8572,54.0743,54.0743,6232138
2019-05-07,52.5532,52.9111,50.1472,51.3701,51.3701,11566889
2019-05-08,51.1016,52.1058,50.7338,51.1315,51.1315,6733308
2019-05-09,49.8092,50.9395,48.8051,50.6145,50.6145,9804465
2019-05-10,50.0478,51.7876,48.2781,51.3303,51.3303,8229329
2019-05-13,48.2781,48.8647,46.9767,47.5325,47.5325,14446748
2019-05-14,48.0296,49.6103,47.9699,48.7255,48.7255,6336070
2019-05-15,47.8108,49.9583,47.6816,49.5706,49.5706,7254431
2019-05-16,49.9881,51.7379,49.9583,50.9127,50.9127,5784422
2019-05-17,49.5805,51.4098,49.5805,49.9583,49.9583,5522362
2019-05-20,49.0138,49.7098,48.5167,48.9939,48.9939,6437730
2019-05-21,49.9086,50.4852,49.7695,50.2566,50.2566,3484384
2019-05-22,49.6799,50.346,49.5222,49.8291,49.8291,3565412
2019-05-23,48.5068,48.5068,47.105,48.0395,48.0395,7066625
2019-05-24,48.7553,48.9741,47.8908,48.2284,48.2284,3428015
2019-05-28,48.3875,48.9442,46.8962,46.936,46.936,3507663
